"","date","strdate","dsp","dsp.pct","ns","ns.pct","pns","pns.pct","erp","erp.pct","dsp.adj.pct","ns.adj.pct","pns.adj.pct"
"1",2014-06-01,"Jun 14",830454,NA,705814,NA,180646,NA,23475.7,NA,NA,NA,NA
"2",2014-09-01,"Sep 14",826763,-0.444455683276856,695513,-1.45944965670842,185800,2.85309389634976,23562.9,0.37144792274566,-0.815903606022516,-1.83089757945408,2.4816459736041
"3",2014-12-01,"Dec 14",824470,-0.277346712419402,727778,4.63902184430773,195054,4.98062432723358,23640.3,0.32848248729993,-0.605829199719332,4.3105393570078,4.65214183993365
"4",2015-03-01,"Mar 15",819455,-0.60826955498684,721888,-0.809312729980849,197902,1.46010848277913,23745.6,0.445425819469292,-1.05369537445613,-1.25473854945014,1.01468266330984
"5",2015-06-01,"Jun 15",814391,-0.617971700703512,748719,3.71678155060065,206764,4.47797394670089,23816,0.296475978707633,-0.914447679411145,3.42030557189302,4.18149796799326
"6",2015-09-01,"Sep 15",806169,-1.00958876019013,717041,-4.23095981269341,207206,0.213770288831716,23904.3,0.370759153510236,-1.38034791370037,-4.60171896620365,-0.15698886467852
"7",2015-12-01,"Dec 15",797212,-1.11105735894087,753291,5.05549891847188,218264,5.33671804870515,23984.6,0.335922825600421,-1.44698018454129,4.71957609287146,5.00079522310473
"8",2016-03-01,"Mar 16",788099,-1.14310873393777,768375,2.0024134099571,223882,2.5739471465748,24103.4,0.495317828940256,-1.63842656287803,1.50709558101684,2.07862931763454
"9",2016-06-01,"Jun 16",782891,-0.660830682439639,732100,-4.72100211485278,230444,2.93100829901467,24190.9,0.363019325074476,-1.02385000751412,-5.08402143992726,2.56798897394019
"10",2016-09-01,"Sep 16",777133,-0.735479140774387,727269,-0.659882529709055,234132,1.60038881463609,24299.9,0.450582657114862,-1.18606179788925,-1.11046518682392,1.14980615752123
"11",2016-12-01,"Dec 16",772313,-0.620228455103566,759292,4.40318506632347,242195,3.44378384842738,24389.7,0.36954884588003,-0.989777300983596,4.03363622044344,3.07423500254735
"12",2017-03-01,"Mar 17",764960,-0.952075130160956,746681,-1.66088935482002,238450,-1.54627469600941,24518.4,0.527681767303423,-1.47975689746438,-2.18857112212344,-2.07395646331283
"13",2017-06-01,"Jun 17",758911,-0.790760301192217,733088,-1.8204561251726,245775,3.07192283497588,24601.9,0.340560558600878,-1.13132085979309,-2.16101668377348,2.731362276375
"14",2017-09-01,"Sep 17",759092,0.0238499639615197,722795,-1.40406063119298,249510,1.51968263655782,24701.9,0.406472670809976,-0.382622706848457,-1.81053330200296,1.11320996574784
"15",2017-12-01,"Dec 17",761588,0.328813898710556,752430,4.100056032485,265687,6.48350767504309,24773.4,0.289451418716768,0.0393624799937875,3.81060461376823,6.19405625632632
"16",2018-03-01,"Mar 18",758634,-0.3878737585151,750412,-0.268197706098905,270015,1.62898448173978,24898.6,0.505380771311148,-0.893254529826248,-0.773578477410053,1.12360371042863
"17",2018-06-01,"Jun 18",756960,-0.220659764787767,727533,-3.04885849373411,271421,0.520711812306729,24982.7,0.337769995100135,-0.558429759887902,-3.38662848883424,0.182941817206595
"18",2018-09-01,"Sep 18",751919,-0.665953286831533,679518,-6.59970063213627,269507,-0.705177565479453,25089.7,0.428296381095716,-1.09424966792725,-7.02799701323199,-1.13347394657517
"19",2018-12-01,"Dec 18",750045,-0.249228972801596,722923,6.38761592776056,284924,5.72044510903242,25171.3,0.325233063767194,-0.57446203656879,6.06238286399337,5.39521204526523
"20",2019-03-01,"Mar 19",747619,-0.323447259831078,686328,-5.06208821686404,278970,-2.08968005503222,25293,0.48348714607509,-0.806934405906168,-5.54557536293913,-2.57316720110731
"21",2019-06-01,"Jun 19",745673,-0.260293010209744,686785,0.0665862386497462,289489,3.77065634297595,25365.7,0.28743130510418,-0.547724315313924,-0.220845066454434,3.48322503787177
"22",2019-09-01,"Sep 19",747762,0.280149609815572,680009,-0.986626091134779,295889,2.21079211990785,25472.5,0.421041012075363,-0.140891402259791,-1.40766710321014,1.78975110783249
"23",2019-12-01,"Dec 19",751773,0.536400619448441,728405,7.11696462840934,311797,5.37634045199382,25559.8,0.342722543919916,0.193678075528525,6.77424208448942,5.0336179080739
"24",2020-03-01,"Mar 20",752191,0.0556018904642741,792814,8.84247087815158,325452,4.37945201525352,25669.1,0.427624629300705,-0.372022738836431,8.41484624885087,3.95182738595282
"25",2020-06-01,"Jun 20",754181,0.264560464031072,1441287,81.7938381511931,366339,12.563142951956,25697.3,0.109859714598493,0.154700749432579,81.6839784365946,12.4532832373575
"26",2020-09-01,"Sep 20",752833,-0.178736934502455,1399858,-2.87444485380081,374823,2.31588774331972,25693.1,-0.0163441295389033,-0.162392804963552,-2.85810072426191,2.33223187285862
