date,ced_code_2018,ced_name_2018,Commonwealth electoral division state,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Double Orphan Pension,Family Tax Benefit A,Family Tax Benefit B,Family Tax Benefit PART A Children,Health Care Card,Low Income Card,Newstart Allowance/Jobseeker Payment,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2019-03,133,Page,New South Wales,114,356,25438,281,5949,147,3126,3069,9722,11,12584,9785,24750,11405,1693,7429,695,2358,14,47000,58,17,68,50,75,1169,630,14493
2019-03,134,Parkes,New South Wales,187,1214,18792,43,4738,105,2497,2074,7405,10,11354,9460,23467,11432,789,6848,454,3390,7,35893,39,10,52,44,42,1190,260,10394
2019-03,135,Parramatta,New South Wales,23,40,13195,259,4345,102,2487,1907,5146,5,11527,8984,21251,10349,1933,4402,813,1078,10,25261,17,304,128,66,24,230,1684,9592
2019-03,136,Paterson,New South Wales,61,226,21951,142,6146,146,2880,2340,7621,5,11198,9340,22104,9857,1341,5306,477,2532,14,39074,36,12,58,41,61,933,555,12408
2019-03,137,Reid,New South Wales,19,16,12164,207,2639,43,928,3101,2278,5,5665,4264,9393,5474,1244,2011,241,439,5,17651,12,79,85,25,6,102,1157,5133
2019-03,138,Richmond,New South Wales,82,178,24638,441,4692,68,2171,3429,7439,5,10675,8384,19328,9928,1691,6208,489,1715,15,41017,66,17,81,29,35,661,666,15056
2019-03,139,Riverina,New South Wales,89,322,20256,122,4744,109,2166,3096,6607,6,10361,8108,21775,9909,1420,5005,482,2211,9,34783,45,7,42,32,32,788,1023,9676
2019-03,140,Robertson,New South Wales,71,75,21155,158,3877,85,1507,3194,5111,5,7593,6120,14205,6883,1080,3799,260,1381,5,32354,33,8,56,12,22,450,682,10031
2019-03,141,Shortland,New South Wales,52,163,22795,148,5001,91,2084,2757,5978,10,8073,6653,15205,7431,1201,3994,299,1676,9,35939,42,5,55,38,37,633,658,9893
2019-03,142,Sydney,New South Wales,127,107,8260,407,1590,15,889,1388,5301,5,2874,2479,4536,5988,1431,3543,101,479,0,17277,19,76,69,12,5,159,1571,5876
2019-03,143,Warringah,New South Wales,6,10,7919,112,1133,36,262,4049,1423,0,2610,2081,4370,2513,543,953,43,253,5,10935,12,9,18,5,0,56,469,2687
2019-03,144,Watson,New South Wales,15,26,17191,297,6510,129,3874,1694,5068,5,13301,10593,27271,12790,2257,4809,1553,1210,20,31261,21,288,164,91,33,270,2276,11102
2019-03,145,Wentworth,New South Wales,14,24,6559,143,1060,24,296,2855,1408,0,1924,1588,3242,2609,543,1106,43,187,5,9313,13,10,14,0,0,36,536,3070
2019-03,146,Werriwa,New South Wales,39,111,13842,172,8631,215,5733,877,6121,10,15156,12195,32280,12593,2105,5795,1309,2191,16,32292,38,138,104,54,29,363,2130,9684
2019-03,147,Whitlam,New South Wales,53,170,22064,118,5662,105,2524,2822,6488,7,9490,7645,18584,7838,1253,4226,405,1884,11,36702,38,5,62,32,24,654,688,8840
2019-03,201,Aston,Victoria,10,8,16639,167,3670,90,1162,2454,3910,7,8075,6227,14526,8630,2832,2980,255,963,9,25477,35,35,59,15,10,252,1225,5487
2019-03,202,Ballarat,Victoria,28,47,18980,279,4902,114,2209,2318,6980,5,10241,8176,19808,11647,3464,5150,428,1952,8,33971,58,10,57,27,29,716,1496,10574
2019-03,203,Bendigo,Victoria,44,44,19417,249,4600,89,2000,2634,6698,6,10086,7945,19567,10716,3039,4934,428,1858,9,34248,36,7,63,29,39,669,1433,9791
2019-03,204,Bruce,Victoria,7,15,19948,249,6209,118,3310,1288,7665,24,14500,11561,27463,15294,4041,6741,1109,1771,27,37878,53,307,119,44,25,563,2334,11657
2019-03,205,Calwell,Victoria,21,28,13882,237,9738,231,6500,833,6854,6,17421,14108,36326,18170,3621,7935,2017,1948,10,33816,49,126,100,49,37,713,2412,10660
2019-03,206,Casey,Victoria,10,20,15823,198,3577,91,1067,2398,4324,5,8409,6419,16228,7979,2495,3115,255,1114,8,25330,35,7,66,8,17,301,762,5247
2019-03,207,Chisholm,Victoria,13,9,16303,256,3096,52,866,4978,3418,5,5981,4446,10127,8974,3359,2351,195,445,9,23722,15,76,97,8,0,193,2041,5735
2019-03,208,Cooper,Victoria,47,28,15620,737,4540,77,1681,1826,5418,0,6205,4964,10652,10501,3661,4243,300,792,5,26424,33,59,47,51,15,325,2231,8182
2019-03,209,Corangamite,Victoria,13,22,18027,231,3535,123,1291,3550,3384,7,7506,5676,14893,8319,2832,2742,208,1024,8,26495,38,0,47,7,13,261,1394,6342
2019-03,210,Corio,Victoria,27,35,18109,241,4938,133,2178,2290,6908,6,9240,7643,17256,10895,2996,5382,412,1844,12,33192,46,50,68,16,24,700,1417,10523
2019-03,211,Deakin,Victoria,5,13,16136,199,3141,82,921,3634,4124,0,7372,5729,13372,8253,2601,2919,372,819,5,24844,25,33,45,7,7,254,1062,6180
2019-03,212,Dunkley,Victoria,23,15,16203,210,4041,113,1571,2178,5491,6,9598,7848,17800,9175,2441,4303,309,1737,5,28659,55,15,45,13,9,467,968,9271
2019-03,213,Flinders,Victoria,11,20,22550,121,3744,88,1335,4207,4479,5,7673,6083,14264,7131,2131,3329,202,1308,5,33004,44,10,36,14,17,285,536,7642
2019-03,214,Fraser,Victoria,13,12,18648,340,7237,128,3477,1237,5669,13,12791,10441,24089,15831,4348,7592,918,1864,20,34741,37,160,121,78,46,462,2335,9547
2019-03,215,Gellibrand,Victoria,15,14,13051,322,4207,72,1602,1682,3769,0,8218,6651,15501,10019,2833,4068,397,1046,10,22356,36,39,67,27,15,301,1365,6996
2019-03,216,Gippsland,Victoria,37,89,22744,142,5328,132,2556,2866,7678,8,10068,8115,19945,11729,3076,6419,519,2115,8,39853,43,25,65,32,43,831,604,10084
2019-03,217,Goldstein,Victoria,8,7,11019,171,2207,27,538,4498,2460,0,3207,2505,5361,4725,1590,1506,81,324,0,15938,9,22,32,6,5,91,889,3441
2019-03,218,Gorton,Victoria,19,20,12265,235,6741,197,3102,778,5041,25,15918,12816,32520,14703,3172,5652,998,2479,11,26736,41,71,91,60,49,597,1622,9445
